symbol,series,stock_date,previous_close,open_price,high_price,low_price,last_traded_price,close_price,avg_price,total_trade_qty,turnover_in_lacs,no_of_trades,delivered_qty,delivered_percentage,52_week_high,52_week_high_date,52_week_low,52_week_low_date
20MICRONS,EQ,2024-10-03,293.25,290.0,298.7,283.0,283.3,284.75,288.94,182664,527.8,4530, 105578,57.8,348.0,2024-08-22,127.55,2023-10-03
360ONE,EQ,2024-10-03,1014.05,994.0,998.45,940.0,970.95,955.45,964.08,1700571,16394.92,75535, 1146566,67.42,1215.0,2024-08-01,487.55,2023-10-05
3IINFOLTD,EQ,2024-10-03,33.09,32.7,33.0,32.0,32.2,32.13,32.43,742818,240.88,4073, 427900,57.6,63.9,2024-01-31,30.25,2024-06-04
3MINDIA,EQ,2024-10-03,34430.05,33950.0,34989.0,33950.0,34594.0,34566.8,34556.68,5684,1964.2,3836, 2195,38.62,40856.5,2024-07-02,28498.95,2024-05-15
5PAISA,EQ,2024-10-03,549.55,530.0,570.15,511.1,540.0,534.85,546.58,268680,1468.55,11125, 76340,28.41,758.45,2024-01-09,404.0,2023-10-26
63MOONS,EQ,2024-10-03,407.8,400.0,428.15,395.6,403.9,406.7,415.59,1040902,4325.88,16976, 329080,31.61,690.75,2023-12-11,239.05,2023-10-16
AAATECH,EQ,2024-10-03,132.75,130.75,133.01,127.81,129.34,128.8,130.05,39216,51.0,1162, 25748,65.66,160.85,2024-09-19,56.05,2023-10-09
AADHARHFC,EQ,2024-10-03,458.05,450.0,463.65,442.0,443.8,443.4,450.82,728469,3284.08,27697, 346397,47.55,516.8,2024-09-24,292.0,2024-05-15
AARON,EQ,2024-10-03,262.5,260.0,264.6,255.2,256.95,257.35,260.44,12457,32.44,1560, 4567,36.66,326.4,2023-12-11,242.1,2024-05-09
AARTECH,EQ,2024-10-03,71.63,69.11,72.87,69.11,71.52,71.95,70.71,137960,97.55,2493, 77446,56.14,87.33,2024-05-03,42.42,2023-12-21
AARTIDRUGS,EQ,2024-10-03,520.75,517.9,522.0,509.85,512.05,514.2,516.18,161059,831.35,11028, 69042,42.87,635.0,2024-08-27,431.05,2024-03-28
AARTIIND,EQ,2024-10-03,587.0,579.65,585.65,561.3,563.0,562.65,568.71,1985700,11292.82,59836, 1063816,53.57,769.25,2024-04-29,438.0,2023-10-26
AARTIPHARM,EQ,2024-10-03,624.75,609.0,625.75,609.0,618.0,615.55,616.71,71158,438.84,8185, 36322,51.04,721.7,2024-08-29,371.1,2023-10-26
AARTISURF,EQ,2024-10-03,830.9,830.0,861.0,808.05,825.8,817.25,834.78,56620,472.65,3824, 22026,38.9,918.0,2024-09-18,548.15,2024-03-27
AARVI,EQ,2024-10-03,140.17,138.0,138.98,136.79,137.0,137.24,137.98,10442,14.41,641, 3755,35.96,184.25,2024-04-15,112.95,2024-06-04
AAVAS,EQ,2024-10-03,1850.6,1809.75,1825.0,1770.0,1779.0,1778.4,1789.07,205589,3678.14,24509, 114994,55.93,1978.95,2024-06-19,1307.0,2024-03-28
ABAN,EQ,2024-10-03,74.02,73.9,75.44,72.5,72.5,72.83,73.43,137621,101.05,1777, 102302,74.34,93.35,2024-02-07,44.25,2023-10-04
ABB,EQ,2024-10-03,8268.1,8201.0,8260.0,8045.8,8088.9,8110.3,8156.82,320792,26166.44,44995, 70253,21.9,9149.95,2024-06-18,3850.0,2023-10-26
ABBOTINDIA,EQ,2024-10-03,29016.15,28950.0,29060.0,28230.0,28230.0,28267.05,28521.8,9326,2659.94,5740, 3899,41.81,30521.0,2024-08-30,22000.0,2023-12-21
ABCAPITAL,EQ,2024-10-03,242.03,244.0,244.0,232.0,233.03,234.25,236.53,9858860,23319.05,79206, 5208816,52.83,246.9,2024-06-20,155.0,2023-12-21
ABDL,EQ,2024-10-03,342.1,335.0,341.0,328.05,328.85,329.5,333.45,618849,2063.56,11169, 360073,58.18,372.4,2024-09-16,282.05,2024-07-23
ABFRL,EQ,2024-10-03,352.35,348.9,357.9,343.4,343.8,344.35,349.03,8996434,31400.48,69610, 3797165,42.21,364.4,2024-09-27,198.75,2024-03-14
ABGSEC,EQ,2024-10-03,103.47,103.47,103.89,103.27,103.79,103.79,103.72,404,0.42,18, 386,95.54,120.0,2024-07-10,99.66,2024-07-23
ABSLAMC,EQ,2024-10-03,749.9,741.0,750.2,727.25,730.0,730.1,737.13,213117,1570.95,31666, 127862,60.0,775.0,2024-08-21,423.0,2023-10-27
ABSLBANETF,EQ,2024-10-03,53.84,55.45,55.45,52.5,52.9,52.55,52.96,1329028,703.81,4744, 1235360,92.95,55.51,2024-09-24,40.82,2024-03-13
ABSLLIQUID,EQ,2024-10-03,1000.0,999.99,1000.01,999.99,1000.0,999.99,1000.01,54638,546.38,94, 46015,84.22,1030.0,2024-06-13,994.04,2024-03-06
ABSLNN50ET,EQ,2024-10-03,80.13,80.12,80.4,77.99,79.4,79.42,78.67,101056,79.5,1406, 81334,80.48,81.7,2024-09-24,43.9,2023-10-26
ABSLPSE,EQ,2024-10-03,11.29,11.24,11.26,11.0,11.18,11.06,11.13,319141,35.5,1575, 187786,58.84,11.82,2024-08-01,9.26,2024-06-05
ACC,EQ,2024-10-03,2511.0,2479.95,2516.3,2430.05,2463.9,2458.75,2475.37,240975,5965.01,26955, 74320,30.84,2844.0,2024-07-02,1803.0,2023-11-22
ACCELYA,EQ,2024-10-03,1885.4,1880.0,1899.9,1859.05,1874.0,1870.75,1880.77,38287,720.09,3740, 23986,62.65,2127.4,2024-02-15,1310.0,2023-12-13
ACE,EQ,2024-10-03,1391.7,1368.6,1389.8,1355.0,1376.0,1370.6,1372.56,218468,2998.61,19796, 130157,59.58,1695.0,2024-04-02,657.3,2023-10-26
ACEINTEG,EQ,2024-10-03,35.78,35.96,35.96,34.0,34.59,34.3,34.65,51371,17.8,805, 35513,69.13,55.5,2023-12-15,29.6,2024-03-14
ACI,EQ,2024-10-03,720.05,700.55,726.55,700.5,714.2,716.35,715.73,484255,3465.97,28390, 298368,61.61,837.7,2024-02-27,510.05,2023-11-03
ACL,EQ,2024-10-03,94.8,99.4,99.4,91.5,93.5,93.11,94.9,307861,292.16,5319, 177881,57.78,139.2,2024-01-05,76.0,2024-06-05
ACLGATI,EQ,2024-10-03,113.1,112.8,114.2,108.5,110.25,109.35,111.43,1370717,1527.4,11685, 706323,51.53,168.3,2023-10-16,90.0,2024-06-04
ADANIENSOL,EQ,2024-10-03,1040.1,1023.8,1039.7,1010.0,1021.7,1015.85,1023.28,983956,10068.6,42916, 443561,45.08,1348.0,2024-08-01,686.0,2023-10-26
ADANIENT,EQ,2024-10-03,3186.1,3150.0,3196.35,3084.1,3116.7,3116.0,3130.54,1309703,41000.82,83884, 443787,33.88,3743.9,2024-06-03,2142.0,2023-11-20
ADANIGREEN,EQ,2024-10-03,1884.95,1865.0,1868.6,1775.75,1811.9,1807.8,1812.95,1694940,30728.44,109615, 827397,48.82,2174.1,2024-06-03,815.55,2023-10-26
ADANIPORTS,EQ,2024-10-03,1467.5,1452.75,1469.0,1414.2,1426.05,1425.2,1440.0,3967953,57138.39,127891, 2560505,64.53,1621.4,2024-06-03,754.5,2023-10-26
ADANIPOWER,EQ,2024-10-03,653.2,649.05,652.9,631.55,649.0,644.75,641.35,2625339,16837.62,79177, 1220617,46.49,895.85,2024-06-03,289.35,2023-10-26
ADFFOODS,EQ,2024-10-03,267.6,258.9,280.25,252.1,274.9,275.15,273.63,602533,1648.69,9188, 229951,38.16,301.6,2024-09-12,179.0,2024-03-14
ADORWELD,EQ,2024-10-03,1367.3,1351.6,1365.45,1321.6,1341.2,1336.7,1342.16,9108,122.24,1693, 4980,54.68,1770.0,2024-01-04,1090.0,2023-10-03
ADROITINFO,EQ,2024-10-03,19.12,18.8,18.96,18.16,18.96,18.83,18.79,29870,5.61,216, 23556,78.86,22.35,2024-04-29,13.17,2023-10-26
ADSL,EQ,2024-10-03,277.0,270.15,278.2,259.0,264.2,263.6,268.83,537780,1445.72,8671, 264510,49.19,319.9,2024-09-05,110.5,2023-10-26
ADVANIHOTR,EQ,2024-10-03,73.6,73.6,73.6,71.01,71.98,71.71,72.28,86235,62.33,1603, 57489,66.67,91.65,2024-04-03,44.75,2023-10-03
ADVENZYMES,EQ,2024-10-03,522.2,520.7,520.7,498.0,500.0,501.75,508.5,267042,1357.91,17362, 121666,45.56,571.0,2024-09-16,291.1,2023-10-26
AEGISLOG,EQ,2024-10-03,764.5,735.0,751.3,731.25,741.0,734.75,739.33,251364,1858.41,25898, 139525,55.51,970.0,2024-07-09,280.0,2023-11-03
AEROFLEX,EQ,2024-10-03,191.78,187.01,194.74,186.29,188.1,187.73,190.58,1872413,3568.44,30581, 659605,35.23,209.9,2024-09-11,115.0,2024-03-13
AETHER,EQ,2024-10-03,949.05,949.05,953.3,934.35,945.95,939.85,944.19,49500,467.37,5624, 29442,59.48,1071.0,2024-09-10,761.55,2024-03-27
AFFLE,EQ,2024-10-03,1598.35,1562.4,1594.95,1550.05,1567.0,1565.65,1567.04,145612,2281.8,16220, 82706,56.8,1715.0,2024-08-26,988.15,2023-10-26
AFIL,EQ,2024-10-03,107.6,106.01,107.35,104.0,105.2,104.52,105.4,118517,124.92,1966, 66766,56.33,134.0,2024-06-27,92.71,2024-07-19
AGARIND,EQ,2024-10-03,1141.15,1125.0,1150.85,1115.0,1116.0,1116.15,1124.5,40405,454.35,2897, 31992,79.18,1341.1,2024-08-26,776.3,2024-03-13
AGI,EQ,2024-10-03,968.35,951.0,985.25,945.0,953.05,950.45,969.61,289945,2811.34,20241, 111709,38.53,1089.0,2023-10-13,610.4,2024-06-04
AGIIL,EQ,2024-10-03,993.2,988.0,998.7,950.0,950.1,962.3,981.39,2849,27.96,394, 1836,64.44,1189.7,2024-09-19,657.05,2024-08-09
AGRITECH,EQ,2024-10-03,220.63,211.35,223.0,211.35,217.0,218.75,217.63,15007,32.66,609, 7668,51.1,309.15,2024-07-25,152.7,2024-03-13
AGROPHOS,EQ,2024-10-03,44.94,44.0,45.5,42.92,44.55,44.85,44.84,129620,58.12,1880, 74723,57.65,65.75,2024-02-05,33.0,2023-11-01
AGSTRA,EQ,2024-10-03,101.26,98.72,101.12,93.7,95.28,95.25,97.04,686643,666.33,6274, 415320,60.49,126.75,2024-01-29,57.9,2023-10-26
AHL,EQ,2024-10-03,381.35,364.0,379.5,361.9,364.8,365.2,367.76,349451,1285.14,3619, 250383,71.65,625.0,2024-08-22,260.0,2024-03-28
AHLADA,EQ,2024-10-03,107.18,106.2,106.2,102.79,104.2,104.02,104.28,52397,54.64,1018, 32049,61.17,167.35,2024-05-28,90.65,2024-03-14
AHLEAST,EQ,2024-10-03,168.18,162.01,172.01,161.49,170.0,169.79,169.29,215498,364.82,2498, 143960,66.8,182.9,2024-02-07,123.7,2023-10-26
AHLUCONT,EQ,2024-10-03,1130.0,1105.0,1141.85,1105.0,1110.0,1108.8,1113.55,143054,1592.98,11878, 95444,66.72,1542.45,2024-07-05,650.0,2023-10-26
AIAENG,EQ,2024-10-03,4351.65,4347.3,4350.0,4241.05,4262.0,4270.35,4300.02,205463,8834.96,5922, 195630,95.21,4949.95,2024-08-12,3340.05,2023-10-25
AIIL,EQ,2024-10-03,1824.45,1771.1,1823.8,1760.0,1765.0,1773.4,1795.67,83656,1502.19,7237, 45645,54.56,1830.0,2024-08-27,732.2,2024-05-10
AIROLAM,EQ,2024-10-03,130.08,127.81,137.0,125.71,129.5,130.39,131.11,16632,21.81,1391, 3217,19.34,196.8,2024-02-26,100.55,2023-10-26
AJANTPHARM,EQ,2024-10-03,3253.6,3244.2,3376.4,3175.65,3340.0,3350.95,3310.93,209254,6928.26,39407, 72122,34.47,3485.0,2024-09-12,1650.05,2023-10-26
AJMERA,EQ,2024-10-03,681.85,666.9,675.85,660.0,666.0,665.05,666.17,30886,205.75,1476, 22371,72.43,887.45,2024-04-24,355.0,2023-10-26
AKASH,EQ,2024-10-03,38.52,38.5,38.86,38.0,38.12,38.25,38.4,25318,9.72,493, 16922,66.84,50.6,2024-01-02,27.0,2023-10-26
AKG,EQ,2024-10-03,20.05,19.66,20.15,19.54,20.03,19.96,19.83,79024,15.67,552, 43898,55.55,32.6,2023-12-13,17.6,2024-03-27
AKI,EQ,2024-10-03,20.99,20.99,20.99,20.15,20.41,20.38,20.42,49572,10.12,331, 28374,57.24,32.5,2024-01-04,10.6,2023-10-03
AKSHARCHEM,EQ,2024-10-03,319.4,319.4,319.45,300.0,310.5,309.6,307.61,12987,39.95,951, 8153,62.78,374.95,2024-07-30,240.3,2024-06-04
AKSHOPTFBR,EQ,2024-10-03,8.86,8.86,8.86,8.31,8.4,8.47,8.51,577031,49.09,1273, 357801,62.01,15.85,2024-01-05,7.9,2024-03-28
AKUMS,EQ,2024-10-03,868.0,867.9,880.5,835.0,849.0,845.6,852.3,161540,1376.81,10822, 102552,63.48,1175.9,2024-08-20,725.0,2024-08-06
AKZOINDIA,EQ,2024-10-03,3934.65,3934.65,3934.65,3770.0,3820.0,3819.4,3849.74,11635,447.92,3189, 4853,41.71,3971.25,2024-09-10,2267.0,2024-03-13
ALANKIT,EQ,2024-10-03,24.01,23.79,24.12,23.21,23.6,23.42,23.63,1131586,267.36,3920, 661181,58.43,29.61,2024-08-26,9.65,2023-10-23
ALEMBICLTD,EQ,2024-10-03,142.68,140.5,142.94,139.51,141.48,141.85,141.21,897602,1267.53,11005, 374970,41.77,169.0,2024-08-23,74.15,2023-10-09
ALICON,EQ,2024-10-03,1357.4,1328.0,1349.0,1305.25,1315.75,1317.3,1328.08,14871,197.5,2197, 8580,57.7,1541.9,2024-09-03,775.55,2024-03-14
ALKALI,EQ,2024-10-03,122.96,120.8,126.0,120.0,121.1,120.28,121.62,21669,26.35,603, 12753,58.85,165.0,2024-06-27,95.55,2024-03-14
ALKEM,EQ,2024-10-03,6151.25,6140.0,6195.6,6071.0,6182.85,6159.3,6144.69,335286,20602.27,40640, 226282,67.49,6439.9,2024-09-13,3447.0,2023-10-05
ALKYLAMINE,EQ,2024-10-03,2409.7,2370.3,2420.0,2315.2,2341.0,2339.45,2380.56,230420,5485.27,42298, 100997,43.83,2735.0,2024-01-02,1808.0,2024-03-28
ALLCARGO,EQ,2024-10-03,65.89,64.64,65.55,63.7,63.98,63.81,64.53,2469044,1593.36,16959, 1270976,51.48,98.0,2024-01-02,58.63,2024-08-14
ALLDIGI,EQ,2024-10-03,1017.65,1020.0,1026.85,1000.0,1003.0,1003.65,1008.19,18488,186.39,2551, 12677,68.57,1251.9,2024-07-02,579.0,2023-10-10
