symbol,series,stock_date,previous_close,open_price,high_price,low_price,last_traded_price,close_price,avg_price,total_trade_qty,turnover_in_lacs,no_of_trades,delivered_qty,delivered_percentage,52_week_high,52_week_high_date,52_week_low,52_week_low_date
20MICRONS,EQ,2024-10-04,284.75,285.0,288.25,266.75,278.0,276.65,278.83,272012,758.46,7786, 126609,46.55,348.0,2024-08-22,130.5,2023-10-25
360ONE,EQ,2024-10-04,955.45,962.9,1025.0,951.6,1003.0,1011.2,994.1,1463077,14544.4,89367, 263924,18.04,1215.0,2024-08-01,487.55,2023-10-05
3IINFOLTD,EQ,2024-10-04,32.13,32.1,32.39,31.5,31.79,31.67,31.99,621512,198.82,3503, 278086,44.74,63.9,2024-01-31,30.25,2024-06-04
3MINDIA,EQ,2024-10-04,34566.8,34593.0,34875.0,33906.95,34181.6,34329.85,34467.02,3177,1095.02,2294, 1300,40.92,40856.5,2024-07-02,28498.95,2024-05-15
5PAISA,EQ,2024-10-04,534.85,534.85,541.45,513.0,527.75,524.45,527.92,111334,587.76,5693, 37323,33.52,758.45,2024-01-09,404.0,2023-10-26
63MOONS,EQ,2024-10-04,406.7,406.7,411.2,387.0,390.5,389.8,396.86,385518,1529.96,8744, 151608,39.33,690.75,2023-12-11,239.05,2023-10-16
AAATECH,EQ,2024-10-04,128.8,126.25,130.79,125.13,127.0,126.05,127.64,37357,47.68,1436, 20592,55.12,160.85,2024-09-19,56.05,2023-10-09
AADHARHFC,EQ,2024-10-04,443.4,443.7,449.4,428.5,440.0,435.5,439.04,847770,3722.07,35311, 406599,47.96,516.8,2024-09-24,292.0,2024-05-15
AARON,EQ,2024-10-04,257.35,257.35,266.5,252.0,259.9,260.9,257.53,22062,56.82,2029, 4767,21.61,326.4,2023-12-11,242.1,2024-05-09
AARTECH,EQ,2024-10-04,71.95,72.85,72.85,68.35,68.35,68.35,68.53,944576,647.32,2319, 783087,82.9,87.33,2024-05-03,42.42,2023-12-21
AARTIDRUGS,EQ,2024-10-04,514.2,517.0,529.0,513.65,517.05,516.35,522.15,389944,2036.1,19930, 76783,19.69,635.0,2024-08-27,431.05,2024-03-28
AARTIIND,EQ,2024-10-04,562.65,561.55,565.25,549.0,552.2,551.15,557.71,2028215,11311.47,63502, 850868,41.95,769.25,2024-04-29,438.0,2023-10-26
AARTIPHARM,EQ,2024-10-04,615.55,610.1,627.7,600.75,621.25,621.15,618.4,67310,416.24,7394, 31376,46.61,721.7,2024-08-29,371.1,2023-10-26
AARTISURF,EQ,2024-10-04,817.25,821.6,845.0,800.0,807.2,809.55,820.6,63681,522.57,3962, 30709,48.22,918.0,2024-09-18,548.15,2024-03-27
AARVI,EQ,2024-10-04,137.24,135.91,139.59,135.0,136.0,136.06,136.36,15153,20.66,898, 5985,39.5,184.25,2024-04-15,112.95,2024-06-04
AAVAS,EQ,2024-10-04,1778.4,1745.0,1811.35,1735.1,1783.0,1776.9,1782.28,182752,3257.16,17998, 67263,36.81,1978.95,2024-06-19,1307.0,2024-03-28
ABAN,EQ,2024-10-04,72.83,74.8,74.8,72.0,72.83,72.79,73.25,74360,54.47,1162, 53868,72.44,93.35,2024-02-07,44.25,2023-10-04
ABB,EQ,2024-10-04,8110.3,8090.05,8104.2,7880.0,7950.0,7930.4,7974.52,305714,24379.23,42522, 144859,47.38,9149.95,2024-06-18,3850.0,2023-10-26
ABBOTINDIA,EQ,2024-10-04,28267.05,28260.0,28586.9,27970.1,28150.0,28104.55,28213.97,10751,3033.28,5388, 5042,46.9,30521.0,2024-08-30,22000.0,2023-12-21
ABCAPITAL,EQ,2024-10-04,234.25,234.24,235.0,227.05,228.0,227.83,230.51,5361656,12359.33,53407, 2162360,40.33,246.9,2024-06-20,155.0,2023-12-21
ABDL,EQ,2024-10-04,329.5,329.35,331.45,318.5,319.75,320.3,323.8,625319,2024.81,9777, 304488,48.69,372.4,2024-09-16,282.05,2024-07-23
ABFRL,EQ,2024-10-04,344.35,345.0,345.75,330.6,333.6,333.0,337.41,4922873,16610.3,33746, 2081606,42.28,364.4,2024-09-27,198.75,2024-03-14
ABGSEC,EQ,2024-10-04,103.79,103.64,103.64,103.01,103.44,103.44,103.43,96,0.1,8, 67,69.79,120.0,2024-07-10,99.66,2024-07-23
ABSLAMC,EQ,2024-10-04,730.1,735.8,736.0,711.65,717.6,716.75,724.99,405868,2942.5,33585, 210298,51.81,775.0,2024-08-21,423.0,2023-10-27
ABSLBANETF,EQ,2024-10-04,52.55,53.97,53.97,52.05,53.5,52.38,52.66,41206,21.7,984, 30017,72.85,55.51,2024-09-24,40.82,2024-03-13
ABSLLIQUID,EQ,2024-10-04,999.99,1000.0,1000.01,999.99,1000.01,1000.0,1000.0,37412,374.12,190, 35362,94.52,1030.0,2024-06-13,994.04,2024-03-06
ABSLNN50ET,EQ,2024-10-04,79.42,79.42,79.98,77.14,78.3,78.34,78.18,105563,82.53,1281, 62638,59.34,81.7,2024-09-24,43.9,2023-10-26
ABSLPSE,EQ,2024-10-04,11.06,10.95,11.14,10.82,11.05,10.98,10.96,285392,31.28,1262, 180402,63.21,11.82,2024-08-01,9.26,2024-06-05
ACC,EQ,2024-10-04,2458.75,2458.75,2482.15,2415.05,2439.05,2433.75,2437.38,308510,7519.57,19411, 173411,56.21,2844.0,2024-07-02,1803.0,2023-11-22
ACCELYA,EQ,2024-10-04,1870.75,1828.9,1828.9,1751.0,1784.95,1777.95,1781.29,47294,842.44,4208, 14843,31.38,2127.4,2024-02-15,1310.0,2023-12-13
ACE,EQ,2024-10-04,1370.6,1370.6,1370.6,1315.0,1324.0,1321.5,1340.55,690854,9261.25,45337, 486265,70.39,1695.0,2024-04-02,657.3,2023-10-26
ACEINTEG,EQ,2024-10-04,34.3,34.85,35.95,34.34,35.5,34.81,35.0,38720,13.55,784, 20816,53.76,55.5,2023-12-15,29.6,2024-03-14
ACI,EQ,2024-10-04,716.35,715.0,718.0,695.0,704.0,704.15,706.01,304156,2147.38,25092, 116801,38.4,837.7,2024-02-27,510.05,2023-11-03
ACL,EQ,2024-10-04,93.11,94.8,95.0,89.82,90.05,90.41,91.12,82072,74.79,2483, 48858,59.53,139.2,2024-01-05,76.0,2024-06-05
ACLGATI,EQ,2024-10-04,109.35,110.2,110.49,105.02,108.9,107.27,108.1,1136679,1228.79,8161, 495385,43.58,168.3,2023-10-16,90.0,2024-06-04
ADANIENSOL,EQ,2024-10-04,1015.85,1016.0,1020.5,955.0,964.0,962.75,978.7,5174616,50644.0,221566, 2908771,56.21,1348.0,2024-08-01,686.0,2023-10-26
ADANIENT,EQ,2024-10-04,3116.0,3119.9,3149.5,3070.0,3110.0,3110.65,3110.13,987583,30715.15,58703, 297456,30.12,3743.9,2024-06-03,2142.0,2023-11-20
ADANIGREEN,EQ,2024-10-04,1807.8,1811.9,1835.0,1780.0,1806.0,1801.2,1805.69,883170,15947.36,62612, 277260,31.39,2174.1,2024-06-03,815.55,2023-10-26
ADANIPORTS,EQ,2024-10-04,1425.2,1424.8,1446.4,1404.2,1410.0,1413.7,1424.38,2611371,37195.91,107828, 932352,35.7,1621.4,2024-06-03,754.5,2023-10-26
ADANIPOWER,EQ,2024-10-04,644.75,639.95,648.0,635.1,640.0,642.1,642.07,2168422,13922.82,53707, 796319,36.72,895.85,2024-06-03,289.35,2023-10-26
ADFFOODS,EQ,2024-10-04,275.15,274.9,302.95,266.55,284.85,285.25,288.85,2002406,5783.88,24402, 533038,26.62,301.6,2024-09-12,179.0,2024-03-14
ADORWELD,EQ,2024-10-04,1336.7,1336.0,1377.65,1320.0,1355.0,1341.75,1354.05,12839,173.85,2122, 4769,37.14,1770.0,2024-01-04,1095.0,2023-10-09
ADROITINFO,EQ,2024-10-04,18.83,18.95,18.95,18.35,18.45,18.67,18.6,25966,4.83,237, 16683,64.25,22.35,2024-04-29,13.17,2023-10-26
ADSL,EQ,2024-10-04,263.6,264.0,270.0,255.9,263.4,262.95,264.79,381349,1009.77,6610, 144932,38.01,319.9,2024-09-05,110.5,2023-10-26
ADVANIHOTR,EQ,2024-10-04,71.71,71.7,76.7,71.26,72.25,73.58,73.81,223363,164.86,3190, 85611,38.33,91.65,2024-04-03,45.55,2023-10-04
ADVENZYMES,EQ,2024-10-04,501.75,498.95,504.55,480.15,492.5,492.0,493.65,260769,1287.29,23305, 92767,35.57,571.0,2024-09-16,291.1,2023-10-26
AEGISLOG,EQ,2024-10-04,734.75,730.0,737.15,718.35,723.95,724.55,726.87,109523,796.09,11446, 47861,43.7,970.0,2024-07-09,280.0,2023-11-03
AEROFLEX,EQ,2024-10-04,187.73,185.74,193.4,181.85,188.4,187.37,189.36,1681539,3184.11,29331, 468038,27.83,209.9,2024-09-11,115.0,2024-03-13
AETHER,EQ,2024-10-04,939.85,939.85,957.95,924.35,940.3,940.35,940.84,57325,539.33,7045, 22817,39.8,1071.0,2024-09-10,761.55,2024-03-27
AFFLE,EQ,2024-10-04,1565.65,1555.0,1578.0,1503.8,1533.45,1533.8,1543.36,200802,3099.1,25393, 77003,38.35,1715.0,2024-08-26,988.15,2023-10-26
AFIL,EQ,2024-10-04,104.52,105.0,106.17,101.0,102.7,102.01,103.38,217253,224.59,2935, 87496,40.27,134.0,2024-06-27,92.71,2024-07-19
AGARIND,EQ,2024-10-04,1116.15,1116.15,1138.0,1095.0,1125.2,1122.65,1120.94,26901,301.54,2360, 13880,51.6,1341.1,2024-08-26,776.3,2024-03-13
AGI,EQ,2024-10-04,950.45,951.0,972.4,923.3,935.35,932.9,946.29,185041,1751.03,18840, 67389,36.42,1089.0,2023-10-13,610.4,2024-06-04
AGIIL,EQ,2024-10-04,962.3,969.2,1000.45,962.05,986.0,985.95,984.28,5748,56.58,208, 5120,89.07,1189.7,2024-09-19,657.05,2024-08-09
AGRITECH,EQ,2024-10-04,218.75,215.45,220.53,214.2,216.05,217.23,218.26,14742,32.18,586, 10115,68.61,309.15,2024-07-25,152.7,2024-03-13
AGROPHOS,EQ,2024-10-04,44.85,44.0,49.5,44.0,47.0,47.31,47.57,585268,278.4,5225, 275829,47.13,65.75,2024-02-05,33.0,2023-11-01
AGSTRA,EQ,2024-10-04,95.25,95.0,99.35,93.61,96.0,95.94,96.81,560638,542.78,5086, 200658,35.79,126.75,2024-01-29,57.9,2023-10-26
AHL,EQ,2024-10-04,365.2,367.0,378.0,359.85,371.2,373.95,373.15,273701,1021.31,4272, 143375,52.38,625.0,2024-08-22,260.0,2024-03-28
AHLADA,EQ,2024-10-04,104.02,104.06,107.85,102.46,104.45,104.36,104.54,29366,30.7,812, 16969,57.78,167.35,2024-05-28,90.65,2024-03-14
AHLEAST,EQ,2024-10-04,169.79,168.0,173.4,165.1,167.89,166.44,168.81,58791,99.24,2027, 33507,56.99,182.9,2024-02-07,123.7,2023-10-26
AHLUCONT,EQ,2024-10-04,1108.8,1109.9,1129.7,1092.4,1115.0,1112.85,1112.51,59047,656.9,7187, 30060,50.91,1542.45,2024-07-05,650.0,2023-10-26
AIAENG,EQ,2024-10-04,4270.35,4280.0,4292.8,4157.6,4255.0,4257.35,4229.92,27086,1145.72,6505, 12361,45.64,4949.95,2024-08-12,3340.05,2023-10-25
AIIL,EQ,2024-10-04,1773.4,1757.5,1818.0,1705.55,1803.0,1801.8,1786.11,96551,1724.51,5911, 54581,56.53,1830.0,2024-08-27,732.2,2024-05-10
AIROLAM,EQ,2024-10-04,130.39,132.0,137.0,127.91,131.06,135.14,134.54,35157,47.3,1490, 19429,55.26,196.8,2024-02-26,100.55,2023-10-26
AJANTPHARM,EQ,2024-10-04,3350.95,3340.1,3350.0,3253.85,3318.9,3324.75,3319.13,224164,7440.29,27155, 147588,65.84,3485.0,2024-09-12,1650.05,2023-10-26
AJMERA,EQ,2024-10-04,665.05,668.0,670.0,634.6,655.5,641.85,649.23,42555,276.28,2209, 27429,64.46,887.45,2024-04-24,355.0,2023-10-26
AKASH,EQ,2024-10-04,38.25,38.16,38.16,37.21,37.52,37.6,37.73,28716,10.83,506, 13785,48.0,50.6,2024-01-02,27.0,2023-10-26
AKG,EQ,2024-10-04,19.96,19.96,20.2,19.51,19.67,19.7,19.89,152747,30.39,480, 117300,76.79,32.6,2023-12-13,17.6,2024-03-27
AKI,EQ,2024-10-04,20.38,20.38,21.3,19.65,20.15,19.82,20.38,44742,9.12,425, 17432,38.96,32.5,2024-01-04,11.65,2023-10-04
AKSHARCHEM,EQ,2024-10-04,309.6,307.05,322.8,307.0,319.0,315.5,317.02,7094,22.49,491, 4585,64.63,374.95,2024-07-30,240.3,2024-06-04
AKSHOPTFBR,EQ,2024-10-04,8.47,8.55,8.55,8.0,8.25,8.16,8.24,503351,41.48,982, 334558,66.47,15.85,2024-01-05,7.9,2024-03-28
AKUMS,EQ,2024-10-04,845.6,838.0,852.0,832.55,844.7,836.55,841.08,81243,683.32,5845, 52435,64.54,1175.9,2024-08-20,725.0,2024-08-06
AKZOINDIA,EQ,2024-10-04,3819.4,3771.3,3859.95,3657.55,3801.35,3820.7,3765.14,20969,789.51,4288, 9395,44.8,3971.25,2024-09-10,2267.0,2024-03-13
ALANKIT,EQ,2024-10-04,23.42,23.33,23.79,22.5,22.74,22.64,23.0,1444261,332.16,5387, 720075,49.86,29.61,2024-08-26,9.65,2023-10-23
ALEMBICLTD,EQ,2024-10-04,141.85,141.85,143.7,138.73,141.04,140.79,142.0,798130,1133.38,11122, 289334,36.25,169.0,2024-08-23,74.15,2023-10-09
ALICON,EQ,2024-10-04,1317.3,1311.3,1338.5,1281.6,1318.0,1310.75,1312.63,14780,194.01,2239, 8464,57.27,1541.9,2024-09-03,775.55,2024-03-14
ALKALI,EQ,2024-10-04,120.28,121.18,122.99,117.51,118.7,118.09,119.72,22340,26.75,1090, 12671,56.72,165.0,2024-06-27,95.55,2024-03-14
ALKEM,EQ,2024-10-04,6159.3,6175.0,6320.0,6083.35,6200.0,6194.15,6255.7,333711,20875.95,32924, 203553,61.0,6439.9,2024-09-13,3447.0,2023-10-05
ALKYLAMINE,EQ,2024-10-04,2339.45,2339.0,2350.95,2230.0,2272.95,2290.0,2306.81,120037,2769.03,22402, 43913,36.58,2735.0,2024-01-02,1808.0,2024-03-28
ALLCARGO,EQ,2024-10-04,63.81,63.82,64.48,62.42,63.46,63.01,63.5,2625268,1666.99,21073, 1033163,39.35,98.0,2024-01-02,58.63,2024-08-14
ALLDIGI,EQ,2024-10-04,1003.65,1011.2,1041.0,987.0,1014.0,1018.55,1012.79,23865,241.7,2135, 15614,65.43,1251.9,2024-07-02,579.0,2023-10-10
ALOKINDS,EQ,2024-10-04,25.94,25.95,26.24,25.38,25.78,25.72,25.85,18282613,4726.79,34128, 3109585,17.01,39.05,2024-01-09,16.1,2023-10-26
ALPHA,EQ,2024-10-04,56.97,57.38,57.38,55.58,56.75,56.45,56.41,2266621,1278.64,12628, 1265840,55.85,59.9,2024-09-18,32.55,2023-10-26
ALPHAETF,EQ,2024-10-04,28.27,28.28,28.69,27.8,27.97,27.98,28.07,1836985,515.7,6384, 1326907,72.23,30.2,2024-09-05,16.56,2023-11-01
ALPL30IETF,EQ,2024-10-04,31.55,31.54,31.95,31.08,31.91,31.4,31.31,1639519,513.27,3657, 1373083,83.75,32.67,2024-09-30,19.61,2023-10-27
AMBER,EQ,2024-10-04,5163.85,5159.95,5159.95,4890.0,4902.0,4918.9,5021.3,376874,18923.96,57185, 60214,15.98,5361.15,2024-09-24,2721.05,2023-10-23
AMBICAAGAR,EQ,2024-10-04,28.92,28.51,29.74,28.2,28.2,28.5,28.78,27306,7.86,693, 12155,44.51,43.2,2024-02-09,23.2,2024-06-07
AMBIKCO,EQ,2024-10-04,1675.35,1661.05,1682.75,1655.3,1658.0,1663.1,1667.8,5813,96.95,900, 3054,52.54,2197.65,2024-08-01,1385.65,2024-03-28
AMBUJACEM,EQ,2024-10-04,617.45,615.45,622.0,604.6,611.6,610.7,613.39,1538542,9437.2,43783, 685502,44.56,706.95,2024-07-02,404.05,2023-11-01
AMDIND,EQ,2024-10-04,69.85,68.3,71.69,68.3,69.5,69.68,70.02,12312,8.62,655, 6588,53.51,98.0,2023-12-14,51.2,2024-03-14
AMIORG,EQ,2024-10-04,1649.95,1651.5,1686.0,1602.05,1677.0,1677.4,1660.08,208750,3465.41,23857, 66641,31.92,1823.0,2024-09-27,1004.45,2024-03-14
AMNPLST,EQ,2024-10-04,305.0,303.0,316.05,294.0,303.05,303.55,309.25,20026,61.93,1558, 10067,50.27,359.95,2024-08-20,149.0,2023-11-24
AMRUTANJAN,EQ,2024-10-04,772.6,776.5,785.6,764.0,768.0,768.55,772.86,25471,196.86,2212, 11290,44.32,862.6,2024-08-28,563.9,2023-10-27
ANANDRATHI,EQ,2024-10-04,3911.75,3872.65,3973.05,3806.0,3912.0,3910.45,3908.37,57292,2239.18,8578, 34667,60.51,4299.95,2024-06-03,1712.1,2023-10-04
ANANTRAJ,EQ,2024-10-04,701.65,701.55,728.0,670.9,727.0,721.05,709.1,1613663,11442.55,52521, 619782,38.41,749.0,2024-09-20,216.0,2023-10-04
ANDHRAPAP,EQ,2024-10-04,103.67,103.65,105.07,101.0,104.7,104.32,103.69,319198,330.97,9092, 148448,46.51,134.98,2023-10-11,93.01,2024-06-04
ANDHRSUGAR,EQ,2024-10-04,110.7,109.7,113.76,108.32,110.55,110.12,111.33,290942,323.92,3598, 90531,31.12,128.99,2024-06-13,92.0,2024-06-04
ANGELONE,EQ,2024-10-04,2742.15,2707.45,2749.8,2620.0,2655.0,2661.7,2677.58,2798216,74924.35,186634, 475934,17.01,3896.0,2024-01-09,1826.55,2023-10-04
ANUP,EQ,2024-10-04,2607.35,2595.75,2685.0,2502.7,2656.15,2653.25,2604.17,159483,4153.2,28353, 26983,16.92,2721.3,2024-10-03,964.05,2023-10-04
ANURAS,EQ,2024-10-04,753.4,746.45,756.4,735.25,745.95,746.25,746.89,64417,481.12,7364, 21241,32.97,1106.3,2024-01-04,720.4,2024-06-05
APARINDS,EQ,2024-10-04,9537.25,9460.0,9599.9,9352.55,9502.0,9514.1,9528.6,105789,10080.21,14258, 68870,65.1,10624.8,2024-09-16,4545.65,2023-10-26
APCL,EQ,2024-10-04,182.07,180.4,189.0,179.0,186.1,186.03,185.72,27660,51.37,968, 19615,70.91,231.95,2024-02-02,154.3,2024-06-04
APCOTEXIND,EQ,2024-10-04,429.0,429.0,429.0,413.3,416.4,417.45,419.0,22948,96.15,1427, 12944,56.41,563.35,2023-11-20,383.0,2024-06-04
APEX,EQ,2024-10-04,240.78,240.1,249.77,233.15,238.9,239.06,244.49,154475,377.68,6088, 56728,36.72,324.0,2024-07-25,188.3,2024-03-13
APLAPOLLO,EQ,2024-10-04,1607.1,1600.0,1627.95,1562.6,1592.75,1609.3,1610.39,1713379,27592.08,42735, 1434441,83.72,1788.35,2023-10-18,1305.0,2024-02-14
APLLTD,EQ,2024-10-04,1241.15,1244.05,1274.85,1218.65,1231.2,1242.85,1251.55,586218,7336.78,45321, 148211,25.28,1284.95,2024-08-08,707.15,2023-10-31
APOLLO,EQ,2024-10-04,102.22,102.21,103.45,100.3,101.6,101.62,101.84,1318076,1342.35,9525, 663095,50.31,161.7,2023-11-20,60.2,2023-10-04
APOLLOHOSP,EQ,2024-10-04,6905.95,6902.1,6958.3,6727.35,6801.0,6773.6,6833.81,429272,29335.64,58605, 245764,57.25,7316.95,2024-09-30,4726.0,2023-10-26
APOLLOPIPE,EQ,2024-10-04,578.15,578.2,580.45,571.0,572.15,575.1,575.19,21832,125.58,1569, 11958,54.77,798.65,2024-02-09,538.7,2024-08-16
APOLLOTYRE,EQ,2024-10-04,525.8,525.0,526.7,508.65,511.0,511.55,515.29,2664861,13731.84,57183, 802985,30.13,584.9,2024-09-26,366.0,2023-10-04
APOLSINHOT,EQ,2024-10-04,1936.35,1942.0,1955.95,1823.0,1873.35,1857.0,1895.85,4964,94.11,675, 3173,63.92,2652.0,2024-01-12,1345.45,2024-07-19
APTECHT,EQ,2024-10-04,210.58,210.0,215.69,208.5,212.5,211.44,212.67,162493,345.58,4901, 61102,37.6,297.5,2024-01-16,199.35,2024-07-23
APTUS,EQ,2024-10-04,340.45,340.0,362.0,339.0,356.0,359.5,356.39,4312612,15369.68,88463, 887550,20.58,392.0,2024-02-07,278.1,2023-10-26
ARCHIES,EQ,2024-10-04,32.91,32.66,33.46,30.67,30.85,31.0,31.97,283583,90.67,1846, 155082,54.69,42.5,2024-03-05,22.0,2023-10-26
ARE&M,EQ,2024-10-04,1355.9,1355.9,1391.95,1335.0,1373.0,1379.6,1375.5,686648,9444.86,46287, 234706,34.18,1775.95,2024-06-26,599.0,2023-10-26
ARIES,EQ,2024-10-04,263.8,262.0,263.95,253.8,255.0,255.95,257.91,51263,132.21,1801, 26742,52.17,342.7,2024-03-04,158.05,2023-10-26
ARIHANTCAP,EQ,2024-10-04,109.03,109.0,114.8,106.5,111.79,110.06,111.6,1164667,1299.74,7236, 458011,39.33,123.89,2024-09-16,49.2,2024-03-13
ARIHANTSUP,EQ,2024-10-04,406.0,414.7,415.95,397.8,401.95,399.55,406.37,81955,333.04,2201, 40983,50.01,434.95,2024-10-03,158.55,2023-10-26
ARKADE,EQ,2024-10-04,148.62,148.5,150.79,145.11,150.0,149.88,148.44,1536624,2280.97,19499, 609254,39.65,190.0,2024-09-24,145.87,2024-10-03
ARMANFIN,EQ,2024-10-04,1620.9,1637.1,1648.1,1605.05,1625.0,1619.6,1620.96,31445,509.71,4348, 18515,58.88,2680.0,2023-12-21,1579.0,2024-10-03
AROGRANITE,EQ,2024-10-04,57.36,57.3,59.7,56.51,57.75,57.05,57.77,26217,15.15,598, 11439,43.63,69.3,2024-01-15,41.1,2024-03-14
ARROWGREEN,EQ,2024-10-04,807.55,809.95,819.45,782.0,785.1,787.8,797.97,40060,319.67,2758, 21460,53.57,1027.0,2024-08-06,335.05,2024-03-13
ARTEMISMED,EQ,2024-10-04,272.95,274.0,274.0,265.3,268.15,267.8,268.39,174238,467.64,6250, 105264,60.41,304.7,2024-09-16,136.1,2023-10-26
ARVEE,EQ,2024-10-04,179.9,180.8,185.0,172.2,183.15,183.21,182.24,2632,4.8,143, 1539,58.47,315.0,2024-04-12,105.25,2023-10-09
ARVIND,EQ,2024-10-04,349.8,347.5,359.4,339.2,342.5,341.1,345.28,288089,994.71,17250, 115235,40.0,421.3,2024-08-07,163.55,2023-10-26
ARVINDFASN,EQ,2024-10-04,586.85,585.0,588.0,549.95,576.85,572.1,576.82,637684,3678.31,25799, 301367,47.26,622.9,2024-09-24,298.85,2023-10-26
ARVSMART,EQ,2024-10-04,783.4,783.4,795.45,751.85,794.0,786.8,783.7,58251,456.52,3077, 33536,57.57,902.0,2024-09-24,309.0,2023-10-26
ASAHIINDIA,EQ,2024-10-04,752.2,756.0,794.0,736.0,774.0,768.85,776.2,609186,4728.5,36688, 88001,14.45,833.95,2024-09-23,501.55,2024-03-19
ASAL,EQ,2024-10-04,762.05,762.7,768.45,743.0,748.1,747.15,751.33,24942,187.4,2191, 13050,52.32,1094.55,2024-07-03,373.0,2023-10-26
ASALCBR,EQ,2024-10-04,936.3,936.0,955.95,920.05,932.75,931.55,937.06,35350,331.25,2002, 17652,49.93,1037.4,2024-09-18,398.0,2024-02-08
ASHAPURMIN,EQ,2024-10-04,306.4,305.25,314.95,300.1,303.5,304.45,307.0,143855,441.63,3102, 85960,59.75,483.2,2023-12-08,273.0,2023-10-26
ASHIANA,EQ,2024-10-04,320.75,320.75,321.9,315.0,315.9,315.85,317.1,65685,208.29,2156, 40877,62.23,469.0,2024-06-20,195.25,2023-10-06
ASHOKA,EQ,2024-10-04,242.94,246.0,251.5,240.6,241.98,243.53,246.26,3119868,7683.01,40982, 1068918,34.26,284.74,2024-09-06,119.0,2023-10-04
ASHOKAMET,EQ,2024-10-04,20.87,21.1,21.1,20.5,20.6,20.6,20.77,81268,16.88,591, 67614,83.2,35.7,2024-01-01,17.0,2024-03-27
ASHOKLEY,EQ,2024-10-04,230.7,232.0,232.0,223.87,226.4,225.39,226.97,17369449,39423.19,118430, 8680018,49.97,264.65,2024-08-27,157.55,2024-03-14
ASIANENE,EQ,2024-10-04,361.65,361.65,379.5,354.5,379.5,375.15,369.82,120305,444.92,2196, 81014,67.34,444.15,2024-08-27,168.6,2023-11-21
ASIANHOTNR,EQ,2024-10-04,217.04,227.89,227.89,206.18,227.89,227.89,224.72,91672,206.01,1295, 42566,46.43,238.95,2023-12-28,108.85,2024-03-15
ASIANPAINT,EQ,2024-10-04,3149.3,3135.0,3156.75,3054.55,3073.85,3072.5,3098.08,1551818,48076.55,141806, 518828,33.43,3422.95,2023-12-29,2670.1,2024-05-10
ASIANTILES,EQ,2024-10-04,82.76,83.1,84.45,80.2,82.2,81.22,81.97,1153349,945.37,6470, 488234,42.33,98.2,2024-08-22,51.0,2024-06-04
ASKAUTOLTD,EQ,2024-10-04,417.05,417.5,423.55,406.1,411.5,412.15,415.16,611898,2540.35,16187, 324557,53.04,485.3,2024-09-24,240.1,2024-03-13
ASMS,EQ,2024-10-04,21.8,21.71,22.89,21.01,22.89,22.89,22.59,1228270,277.44,2990, 614160,50.0,28.75,2024-02-15,11.2,2023-10-04
ASPINWALL,EQ,2024-10-04,285.4,283.4,289.25,278.95,279.6,280.8,283.38,6747,19.12,443, 3481,51.59,359.0,2024-01-11,223.7,2024-06-04
ASTEC,EQ,2024-10-04,1167.25,1174.05,1184.0,1120.05,1139.95,1135.4,1148.39,36448,418.57,2682, 19653,53.92,1474.4,2024-07-08,825.05,2024-02-14
ASTERDM,EQ,2024-10-04,422.3,421.0,421.0,407.0,412.8,412.45,413.45,806025,3332.55,30480, 322070,39.96,558.0,2024-04-15,311.1,2024-06-04
ASTRAL,EQ,2024-10-04,1918.95,1921.0,1925.0,1878.05,1897.9,1893.15,1897.56,544086,10324.37,66399, 287981,52.93,2454.0,2024-07-02,1740.0,2024-01-18
ASTRAMICRO,EQ,2024-10-04,862.45,853.85,858.0,823.05,850.0,843.35,841.39,296543,2495.07,25137, 131079,44.2,1059.0,2024-06-18,425.4,2023-10-09
ASTRAZEN,EQ,2024-10-04,7636.75,7636.55,7699.9,7374.9,7425.0,7436.7,7504.72,56222,4219.3,12515, 7963,14.16,8137.5,2024-09-30,4475.0,2023-10-27
ASTRON,EQ,2024-10-04,21.41,21.99,22.48,21.42,22.43,22.41,22.29,76974,17.16,367, 51663,67.12,40.9,2024-01-25,19.0,2024-03-28
ATAM,EQ,2024-10-04,151.51,152.3,154.5,149.4,151.95,150.25,152.04,24233,36.84,912, 13740,56.7,241.4,2023-12-11,136.0,2023-11-15
ATFL,EQ,2024-10-04,853.05,857.35,865.0,845.65,857.1,858.0,857.3,41479,355.6,2461, 27123,65.39,1090.0,2024-02-29,644.45,2024-06-05
ATGL,EQ,2024-10-04,772.25,770.05,778.35,758.15,763.6,763.4,767.06,552006,4234.2,34613, 212347,38.47,1259.4,2023-12-08,522.0,2023-10-26
ATL,EQ,2024-10-04,43.2,43.19,44.5,41.9,42.05,42.08,42.61,532323,226.81,3352, 293883,55.21,82.5,2024-01-10,33.55,2023-10-04
ATUL,EQ,2024-10-04,7816.95,7815.0,7933.9,7663.45,7681.75,7690.6,7793.47,40111,3126.04,9963, 12627,31.48,8135.4,2024-08-22,5174.85,2024-06-04
AUBANK,EQ,2024-10-04,731.7,727.0,744.65,716.9,720.0,718.95,729.73,2161504,15773.2,65520, 959802,44.4,813.4,2024-01-09,553.7,2024-03-20
AURIONPRO,EQ,2024-10-04,1618.7,1610.25,1630.2,1550.0,1576.0,1572.15,1589.56,48076,764.2,5037, 30196,62.81,1991.75,2024-08-28,620.0,2023-10-04
