symbol,series,stock_date,previous_close,open_price,high_price,low_price,last_traded_price,close_price,avg_price,total_trade_qty,turnover_in_lacs,no_of_trades,delivered_qty,delivered_percentage,52_week_high,52_week_high_date,52_week_low,52_week_low_date
PNC,EQ,2024-10-04,67.8,67.59,67.59,64.75,65.1,65.09,66.04,98658,65.15,1282, 66147,67.05,79.3,2024-09-25,36.55,2023-10-09
PNCINFRA,EQ,2024-10-04,431.6,432.05,434.2,423.95,424.0,425.45,428.15,333999,1430.01,25345, 156823,46.95,574.8,2024-05-27,310.1,2023-11-09
PNGJL,EQ,2024-10-04,769.55,778.5,782.4,745.5,756.35,756.8,762.99,934389,7129.34,27696, 199571,21.36,848.0,2024-09-17,681.1,2024-09-20
POCL,EQ,2024-10-04,1961.05,1943.15,1987.9,1892.25,1919.0,1910.2,1931.6,39926,771.21,5293, 21521,53.9,2380.0,2024-09-05,382.45,2023-12-27
PODDARMENT,EQ,2024-10-04,402.4,404.5,409.55,400.95,405.7,406.55,406.41,1703,6.92,199, 730,42.87,476.15,2024-06-24,320.4,2024-03-20
POKARNA,EQ,2024-10-04,1001.95,1015.35,1035.05,991.0,1004.9,1005.45,1015.16,83559,848.25,6186, 33396,39.97,1148.0,2024-09-26,421.15,2024-03-13
POLICYBZR,EQ,2024-10-04,1706.9,1699.95,1726.45,1631.4,1701.0,1713.55,1690.25,1808106,30561.45,112127, 813171,44.97,1966.5,2024-09-20,661.3,2023-10-26
POLYCAB,EQ,2024-10-04,7332.2,7329.0,7393.45,7170.0,7203.85,7184.95,7280.15,467877,34062.15,46191, 155908,33.32,7430.0,2024-10-03,3801.0,2024-01-11
POLYMED,EQ,2024-10-04,2312.95,2310.0,2367.0,2287.5,2349.0,2347.55,2331.23,52218,1217.32,12223, 26095,49.97,2686.6,2024-09-03,1250.1,2023-10-25
POLYPLEX,EQ,2024-10-04,1142.9,1138.0,1151.95,1107.0,1140.0,1123.7,1128.41,87546,987.88,10223, 39826,45.49,1375.0,2024-08-23,751.65,2024-06-04
PONNIERODE,EQ,2024-10-04,493.35,499.9,502.0,482.0,483.0,484.0,491.31,18678,91.77,1141, 8356,44.74,598.9,2024-07-12,363.25,2024-03-14
POONAWALLA,EQ,2024-10-04,393.35,392.0,398.0,382.85,394.8,394.95,391.52,2441727,9559.74,42189, 1420544,58.18,519.7,2024-01-19,336.3,2023-11-03
POWERGRID,EQ,2024-10-04,344.15,343.0,347.45,337.75,338.75,338.85,342.14,20121706,68843.71,171005, 12093761,60.1,366.25,2024-09-25,193.75,2023-10-09
POWERINDIA,EQ,2024-10-04,14056.45,14056.4,14671.2,13752.05,14150.0,14015.5,14271.36,44534,6355.61,15511, 18026,40.48,14849.95,2024-10-01,3895.9,2023-10-09
POWERMECH,EQ,2024-10-04,6391.95,6392.0,6489.8,6173.25,6245.0,6243.5,6354.99,80960,5145.0,15035, 28843,35.63,7450.0,2024-08-23,3364.95,2023-11-06
PPAP,EQ,2024-10-04,211.42,211.42,211.42,207.16,207.9,207.73,209.08,8567,17.91,595, 5533,64.59,280.0,2023-10-06,172.0,2024-03-27
PPL,EQ,2024-10-04,588.0,588.0,591.8,566.55,585.25,584.65,582.69,76139,443.65,3445, 37853,49.72,667.95,2024-09-05,248.1,2023-10-09
PPLPHARMA,EQ,2024-10-04,221.96,221.0,230.0,216.3,228.7,229.23,226.61,8110697,18379.98,79172, 1749516,21.57,243.99,2024-09-11,87.5,2023-10-26
PRAJIND,EQ,2024-10-04,758.75,757.0,778.75,735.2,757.0,761.25,763.91,1476625,11280.08,65597, 395087,26.76,826.7,2024-09-30,448.0,2024-03-15
PRAKASH,EQ,2024-10-04,176.11,176.0,179.45,170.0,175.0,175.52,175.67,685788,1204.75,14412, 318599,46.46,237.0,2024-08-27,128.15,2024-03-14
PRAKASHSTL,EQ,2024-10-04,8.9,8.77,8.99,8.6,8.76,8.76,8.82,536419,47.3,1922, 332738,62.03,16.2,2024-01-15,4.9,2023-10-11
PRECAM,EQ,2024-10-04,237.13,235.35,236.69,227.56,233.0,230.42,231.17,198325,458.47,4521, 75501,38.07,292.6,2023-10-11,172.65,2024-06-05
PRECWIRE,EQ,2024-10-04,202.08,201.4,203.0,191.0,191.99,192.27,196.25,846202,1660.66,9400, 378658,44.75,215.9,2024-09-25,103.55,2024-06-04
PREMEXPLN,EQ,2024-10-04,509.3,511.4,520.0,500.0,504.7,505.05,511.2,62760,320.83,3864, 41224,65.69,908.8,2024-06-21,200.2,2023-10-04
PREMIERENE,EQ,2024-10-04,1080.45,1066.0,1103.9,1030.3,1039.0,1047.4,1072.46,2277332,24423.5,52833, 590352,25.92,1267.95,2024-09-10,802.1,2024-09-03
PREMIERPOL,EQ,2024-10-04,231.08,234.9,234.99,227.0,227.1,229.59,231.45,39085,90.46,1169, 23713,60.67,274.1,2024-09-13,102.7,2023-10-04
PRESTIGE,EQ,2024-10-04,1755.8,1744.05,1775.0,1687.1,1745.0,1750.8,1734.38,847689,14702.19,53038, 320303,37.79,2074.8,2024-06-24,606.2,2023-10-04
PRICOLLTD,EQ,2024-10-04,476.55,476.0,476.0,457.3,465.0,461.7,465.29,326115,1517.39,26228, 163160,50.03,542.5,2024-08-01,310.9,2023-10-26
PRIMESECU,EQ,2024-10-04,277.95,277.95,282.5,265.0,279.0,275.05,274.13,95979,263.1,2062, 42953,44.75,329.6,2024-09-16,131.8,2023-10-26
PRINCEPIPE,EQ,2024-10-04,555.7,553.0,563.15,550.7,555.0,554.85,556.58,88225,491.04,7178, 51846,58.77,776.0,2024-01-05,521.35,2024-03-14
PRITI,EQ,2024-10-04,139.32,138.36,142.0,138.36,139.99,139.56,140.35,25077,35.19,658, 17799,70.98,300.05,2023-12-13,125.5,2024-06-04
PRITIKAUTO,EQ,2024-10-04,26.31,26.44,27.27,25.65,25.9,25.84,26.13,2615932,683.5,6616, 700029,26.76,53.5,2024-02-09,18.1,2023-10-04
PRIVISCL,EQ,2024-10-04,1499.1,1495.0,1545.0,1470.45,1513.0,1511.5,1516.29,30379,460.63,2801, 17798,58.59,1720.0,2024-07-29,975.0,2024-03-27
PROZONER,EQ,2024-10-04,25.85,25.92,26.27,25.25,25.63,25.4,25.77,270710,69.75,1557, 156179,57.69,44.8,2024-02-07,25.56,2024-10-03
PRSMJOHNSN,EQ,2024-10-04,200.63,201.4,204.66,194.09,201.75,201.82,200.4,3782194,7579.68,44464, 393962,10.42,246.0,2024-09-11,120.0,2023-10-25
PRUDENT,EQ,2024-10-04,2510.8,2490.05,2512.45,2423.1,2468.95,2463.3,2476.61,33287,824.39,8691, 16834,50.57,2847.05,2024-09-27,1092.05,2023-10-04
PSB,EQ,2024-10-04,53.64,53.51,54.18,52.6,53.0,52.94,53.31,1037926,553.28,6661, 303408,29.23,77.5,2024-02-05,36.55,2023-10-26
PSPPROJECT,EQ,2024-10-04,643.7,637.1,654.95,637.1,643.4,645.8,648.21,52591,340.9,6001, 25773,49.01,807.0,2023-11-15,599.9,2024-03-14
PSUBANK,EQ,2024-10-04,667.61,674.98,679.8,654.86,668.0,668.06,670.73,29526,198.04,1170, 16247,55.03,896.99,2024-05-06,462.39,2023-10-26
